report_id,ts_code,institution,target_fiscal_year,eps_value_exact,eps_definition,net_profit_value_exact,pe_value_exact,conservative_information_date
AP201807011161528904,600754.SH,东吴证券,2020,1.49,原文每股收益，未明确注明基本或摊薄定义,,24.76,2018-07-02
AP201807021161562271,300144.SZ,东吴证券,2018,0.93,原文每股收益，未明确注明基本或摊薄定义,,25.38,2018-07-02
AP201807021161562271,300144.SZ,东吴证券,2019,1.10,原文每股收益，未明确注明基本或摊薄定义,,21.44,2018-07-02
AP201807021161562271,300144.SZ,东吴证券,2020,1.27,原文每股收益，未明确注明基本或摊薄定义,,18.45,2018-07-02
AP201807031161808841,002174.SZ,东吴证券,2018,1.14,原文每股收益，未明确注明基本或摊薄定义,,17.08,2018-07-03
AP201807031161808841,002174.SZ,东吴证券,2019,1.46,原文每股收益，未明确注明基本或摊薄定义,,13.28,2018-07-03
AP201807031161808841,002174.SZ,东吴证券,2020,1.88,原文每股收益，未明确注明基本或摊薄定义,,10.35,2018-07-03
AP201807051163370636,600309.SH,东吴证券,2018,4.52,原文每股收益，未明确注明基本或摊薄定义,,9.89,2018-07-05
AP201807051163370636,600309.SH,东吴证券,2019,5.21,原文每股收益，未明确注明基本或摊薄定义,,8.58,2018-07-05
AP201807051163370636,600309.SH,东吴证券,2020,5.59,原文每股收益，未明确注明基本或摊薄定义,,8.01,2018-07-05
AP201807111165248847,000002.SZ,东吴证券,2018,3.28,原文每股收益，未明确注明基本或摊薄定义,,7.33,2018-07-11
AP201807111165248847,000002.SZ,东吴证券,2019,4.10,原文每股收益，未明确注明基本或摊薄定义,,5.85,2018-07-11
AP201807111165248847,000002.SZ,东吴证券,2020,4.96,原文每股收益，未明确注明基本或摊薄定义,,4.84,2018-07-11
AP201807111165248850,603899.SH,东吴证券,2018,0.90,原文每股收益，未明确注明基本或摊薄定义,,33.74,2018-07-11
AP201807111165248850,603899.SH,东吴证券,2019,1.13,原文每股收益，未明确注明基本或摊薄定义,,26.83,2018-07-11
AP201807111165248850,603899.SH,东吴证券,2020,1.48,原文每股收益，未明确注明基本或摊薄定义,,20.52,2018-07-11
AP201807111165250132,300450.SZ,东吴证券,2018,1.16,原文每股收益，未明确注明基本或摊薄定义,,25.98,2018-07-11
AP201807111165250132,300450.SZ,东吴证券,2019,1.73,原文每股收益，未明确注明基本或摊薄定义,,17.47,2018-07-11
AP201807111165250132,300450.SZ,东吴证券,2020,2.30,原文每股收益，未明确注明基本或摊薄定义,,13.14,2018-07-11
AP201807111165250137,000961.SZ,东吴证券,2018,0.47,原文每股收益，未明确注明基本或摊薄定义,,13.0,2018-07-11
AP201807111165250137,000961.SZ,东吴证券,2019,0.72,原文每股收益，未明确注明基本或摊薄定义,,8.6,2018-07-11
AP201807111165250137,000961.SZ,东吴证券,2020,0.95,原文每股收益，未明确注明基本或摊薄定义,,6.5,2018-07-11
AP201807111165293982,600048.SH,东吴证券,2018,1.71,原文每股收益，未明确注明基本或摊薄定义,,6.59,2018-07-11
AP201807111165293982,600048.SH,东吴证券,2019,2.15,原文每股收益，未明确注明基本或摊薄定义,,5.25,2018-07-11
AP201807111165293982,600048.SH,东吴证券,2020,2.69,原文每股收益，未明确注明基本或摊薄定义,,4.20,2018-07-11
AP201807111165294490,300122.SZ,东吴证券,2018,1.02,原文每股收益，未明确注明基本或摊薄定义,,47.78,2018-07-11
AP201807111165294490,300122.SZ,东吴证券,2019,1.41,原文每股收益，未明确注明基本或摊薄定义,,34.59,2018-07-11
AP201807111165294490,300122.SZ,东吴证券,2020,1.96,原文每股收益，未明确注明基本或摊薄定义,,24.83,2018-07-11
AP201807121165786197,300316.SZ,东吴证券,2018,0.56,原文每股收益，未明确注明基本或摊薄定义,724,22.67,2018-07-12
AP201807121165786197,300316.SZ,东吴证券,2019,0.73,原文每股收益，未明确注明基本或摊薄定义,937,17.52,2018-07-12
AP201807121165786197,300316.SZ,东吴证券,2020,0.95,原文每股收益，未明确注明基本或摊薄定义,1220,13.46,2018-07-12
AP201807131166090915,300476.SZ,东吴证券,2018,0.60,原文每股收益，未明确注明基本或摊薄定义,464,26.84,2018-07-13
AP201807131166090915,300476.SZ,东吴证券,2019,0.89,原文每股收益，未明确注明基本或摊薄定义,684,18.23,2018-07-13
AP201807131166090915,300476.SZ,东吴证券,2020,1.17,原文每股收益，未明确注明基本或摊薄定义,899,13.86,2018-07-13
AP201807131166131170,600588.SH,东吴证券,2018,0.34,原文每股收益，未明确注明基本或摊薄定义,647,69.41,2018-07-13
AP201807131166131170,600588.SH,东吴证券,2019,0.54,原文每股收益，未明确注明基本或摊薄定义,1022,43.93,2018-07-13
AP201807131166131170,600588.SH,东吴证券,2020,0.81,原文每股收益，未明确注明基本或摊薄定义,1547,29.02,2018-07-13
AP201807151166672334,300144.SZ,东吴证券,2018,0.93,原文每股收益，未明确注明基本或摊薄定义,,27.57,2018-07-16
AP201807151166672334,300144.SZ,东吴证券,2019,1.10,原文每股收益，未明确注明基本或摊薄定义,,23.29,2018-07-16
AP201807151166672334,300144.SZ,东吴证券,2020,1.27,原文每股收益，未明确注明基本或摊薄定义,,20.05,2018-07-16
AP201807151166675789,600048.SH,东吴证券,2018,1.71,原文每股收益，未明确注明基本或摊薄定义,,6.52,2018-07-16
AP201807151166675789,600048.SH,东吴证券,2019,2.15,原文每股收益，未明确注明基本或摊薄定义,,5.19,2018-07-16
AP201807151166675789,600048.SH,东吴证券,2020,2.69,原文每股收益，未明确注明基本或摊薄定义,,4.16,2018-07-16
AP201807161166712242,002353.SZ,东吴证券,2018,0.52,原文每股收益，未明确注明基本或摊薄定义,498,33,2018-07-16
AP201807161166712242,002353.SZ,东吴证券,2019,0.73,原文每股收益，未明确注明基本或摊薄定义,699,23,2018-07-16
AP201807161166712242,002353.SZ,东吴证券,2020,0.94,原文每股收益，未明确注明基本或摊薄定义,900,18,2018-07-16
AP201807161166737376,300124.SZ,东吴证券,2018,0.79,原文每股收益，未明确注明基本或摊薄定义,1312,39.43,2018-07-16
AP201807161166737376,300124.SZ,东吴证券,2019,1.02,原文每股收益，未明确注明基本或摊薄定义,1702,30.39,2018-07-16
AP201807161166737376,300124.SZ,东吴证券,2020,1.32,原文每股收益，未明确注明基本或摊薄定义,2203,23.48,2018-07-16
AP201807161166755802,600498.SH,东吴证券,2018,0.95,原文每股收益，未明确注明基本或摊薄定义,,27.29,2018-07-16
AP201807161166755802,600498.SH,东吴证券,2019,1.22,原文每股收益，未明确注明基本或摊薄定义,,21.29,2018-07-16
AP201807161166755802,600498.SH,东吴证券,2020,1.54,原文每股收益，未明确注明基本或摊薄定义,,16.76,2018-07-16
AP201807161166762412,600872.SH,东吴证券,2018,0.80,原文每股收益，未明确注明基本或摊薄定义,637,37.58,2018-07-16
AP201807161166762412,600872.SH,东吴证券,2019,0.98,原文每股收益，未明确注明基本或摊薄定义,778,30.78,2018-07-16
AP201807161166762412,600872.SH,东吴证券,2020,1.19,原文每股收益，未明确注明基本或摊薄定义,947,25.28,2018-07-16
AP201807171167108415,300003.SZ,东吴证券,2018,0.69,原文每股收益，未明确注明基本或摊薄定义,,56.48,2018-07-17
AP201807171167108415,300003.SZ,东吴证券,2019,0.92,原文每股收益，未明确注明基本或摊薄定义,,42.21,2018-07-17
AP201807171167108415,300003.SZ,东吴证券,2020,1.18,原文每股收益，未明确注明基本或摊薄定义,,32.87,2018-07-17
AP201807181167578047,000961.SZ,东吴证券,2018,0.47,原文每股收益，未明确注明基本或摊薄定义,,12.5,2018-07-18
AP201807181167578047,000961.SZ,东吴证券,2019,0.72,原文每股收益，未明确注明基本或摊薄定义,,8.2,2018-07-18
AP201807181167578047,000961.SZ,东吴证券,2020,0.95,原文每股收益，未明确注明基本或摊薄定义,,6.2,2018-07-18
AP201807181167663910,600436.SH,东吴证券,2018,1.81,原文每股收益，未明确注明基本或摊薄定义,1090,70.30,2018-07-18
AP201807181167663910,600436.SH,东吴证券,2019,2.45,原文每股收益，未明确注明基本或摊薄定义,1476,51.93,2018-07-18
AP201807181167663910,600436.SH,东吴证券,2020,3.22,原文每股收益，未明确注明基本或摊薄定义,1941,39.49,2018-07-18
AP201807201168441571,600606.SH,东吴证券,2018,0.91,原文每股收益，未明确注明基本或摊薄定义,,6.5,2018-07-20
AP201807201168441571,600606.SH,东吴证券,2019,1.11,原文每股收益，未明确注明基本或摊薄定义,,5.4,2018-07-20
AP201807201168441571,600606.SH,东吴证券,2020,1.33,原文每股收益，未明确注明基本或摊薄定义,,4.5,2018-07-20
AP201807221168908005,601888.SH,东吴证券,2018,2.07,原文每股收益，未明确注明基本或摊薄定义,4032,35.57,2018-07-23
AP201807221168908005,601888.SH,东吴证券,2019,2.47,原文每股收益，未明确注明基本或摊薄定义,4814,29.79,2018-07-23
AP201807221168908005,601888.SH,东吴证券,2020,2.97,原文每股收益，未明确注明基本或摊薄定义,5806,24.71,2018-07-23
AP201807241169472346,002831.SZ,东吴证券,2018,2.43,原文每股收益，未明确注明基本或摊薄定义,972,22.57,2018-07-24
AP201807241169472346,002831.SZ,东吴证券,2019,3.12,原文每股收益，未明确注明基本或摊薄定义,1248,17.58,2018-07-24
AP201807241169472346,002831.SZ,东吴证券,2020,4.07,原文每股收益，未明确注明基本或摊薄定义,1627,13.48,2018-07-24
AP201807251170231841,002422.SZ,东吴证券,2018,0.79,原文每股收益，未明确注明基本或摊薄定义,1137,39.33,2018-07-26
AP201807251170231841,002422.SZ,东吴证券,2019,1.03,原文每股收益，未明确注明基本或摊薄定义,1489,30.02,2018-07-26
AP201807251170231841,002422.SZ,东吴证券,2020,1.44,原文每股收益，未明确注明基本或摊薄定义,2070,21.59,2018-07-26
AP201807251170253021,002146.SZ,东吴证券,2018,1.74,原文每股收益，未明确注明基本或摊薄定义,,4.58,2018-07-26
AP201807251170253021,002146.SZ,东吴证券,2019,2.23,原文每股收益，未明确注明基本或摊薄定义,,3.57,2018-07-26
AP201807251170253021,002146.SZ,东吴证券,2020,2.86,原文每股收益，未明确注明基本或摊薄定义,,2.78,2018-07-26
AP201807261170343394,300136.SZ,东吴证券,2018,1.43,原文每股收益，未明确注明基本或摊薄定义,1408,25.38,2018-07-26
AP201807261170343394,300136.SZ,东吴证券,2019,1.94,原文每股收益，未明确注明基本或摊薄定义,1903,18.77,2018-07-26
AP201807261170343394,300136.SZ,东吴证券,2020,2.52,原文每股收益，未明确注明基本或摊薄定义,2474,14.44,2018-07-26
AP201807261170832235,000656.SZ,东吴证券,2018,0.46,原文每股收益，未明确注明基本或摊薄定义,,10.43,2018-07-27
AP201807261170832235,000656.SZ,东吴证券,2019,0.58,原文每股收益，未明确注明基本或摊薄定义,,8.28,2018-07-27
AP201807261170832235,000656.SZ,东吴证券,2020,0.70,原文每股收益，未明确注明基本或摊薄定义,,6.88,2018-07-27
AP201807261170832973,002555.SZ,东吴证券,2018,0.80,原文每股收益，未明确注明基本或摊薄定义,1639,15.52,2018-07-27
AP201807261170832973,002555.SZ,东吴证券,2019,0.96,原文每股收益，未明确注明基本或摊薄定义,1975,12.88,2018-07-27
AP201807261170832973,002555.SZ,东吴证券,2020,1.06,原文每股收益，未明确注明基本或摊薄定义,2170,11.72,2018-07-27
