因子字段,因子组,中文定义,单位或含义,可用时点,问题或使用边界,本次检查结论,非缺失行数,缺失行数,最小值,最大值
intraday_log_20,价格与财富,最近20日日内财富变化之和；收盘价加分红，除以开盘价加分红，再取自然对数,含现金权益的财富分解,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。日内项含现金权益，不能解释为纯开盘买入、收盘卖出的回报。,逐值独立复算通过,3437,19,-0.40150765915604275,0.258927015557377
range,价格与财富,最高价减最低价，再除以前收盘价,比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3455,1,0.0028365136668386075,0.1313009357078177
close_location,价格与财富,收盘价减最低价，除以当日最高最低价差；无振幅时取二分之一,零至一,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3456,0,0.0,1.0
volume_ratio,价格与财富,当日成交量除以含当日的二十日平均成交量，再取自然对数,无量纲，不是净申购,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。二级市场成交量不是基金一级市场净申赎。,逐值独立复算通过,3437,19,-2.1618412155548783,1.7064111268504059
efficiency20,价格与财富,二十日财富净变化的绝对值，除以逐日财富变化绝对值之和；无变化取零,零至一,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3456,0,0.0,0.888501742160279
rsi2,价格与财富,最近两日正财富变化之和除以两日涨跌幅绝对值之和，再乘一百；分母为零取五十,零至一百，简单两日比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。是简单两日涨跌比例，不是使用递归平滑的标准相对强弱指标。,逐值独立复算通过,3456,0,0.0,100.00000000000001
z20,价格与财富,当前财富减二十日均值，再除以二十日财富样本标准差；标准差为零取零,标准差倍数,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3456,0,-3.813246555709239,3.3608850127660643
vol_ratio,价格与财富,二十日年化波动率除以六十日年化波动率，分母设极小正数下限,倍数,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3396,60,0.3163432105967519,1.6453204965891746
GSPC_mom1,海外观察,标普五百指数最近1个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.12765219747281709,0.09089487983303712
GSPC_mom5,海外观察,标普五百指数最近5个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.1980440493779767,0.16039479904138076
GSPC_mom20,海外观察,标普五百指数最近20个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.3702509924950004,0.20281085903384444
GSPC_vol20,海外观察,标普五百指数最近二十个来源交易日的收盘对数收益样本标准差，按二百四十二日年化,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,0.03217887261858045,0.9593492087702117
GSPC_dd60,海外观察,标普五百指数收盘值除以最近六十个来源交易日最高收盘值，再减一,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.3392496000265327,0.0
GSPC_age_days,海外观察,标普五百指数来源预定可用时刻距中国开盘前判断时刻的自然日数,自然日,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,0.125,4.166666666666667
IXIC_mom1,海外观察,纳斯达克综合指数最近1个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.13149154641354954,0.1147844229625985
IXIC_mom5,海外观察,纳斯达克综合指数最近5个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.19341786388396542,0.12499902154867293
IXIC_mom20,海外观察,纳斯达克综合指数最近20个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.3431487459349132,0.21863663673858724
IXIC_vol20,海外观察,纳斯达克综合指数最近二十个来源交易日的收盘对数收益样本标准差，按二百四十二日年化,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,0.05320344489628672,0.9359547836840629
IXIC_dd60,海外观察,纳斯达克综合指数收盘值除以最近六十个来源交易日最高收盘值，再减一,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.3011567333731763,0.0
IXIC_age_days,海外观察,纳斯达克综合指数来源预定可用时刻距中国开盘前判断时刻的自然日数,自然日,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,0.125,4.166666666666667
HSI_mom1,海外观察,恒生指数最近1个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.1418325765769861,0.08692783264904058
HSI_mom5,海外观察,恒生指数最近5个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.16676186264885118,0.1728270887259633
HSI_mom20,海外观察,恒生指数最近20个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.27959645903582064,0.2800628816038877
HSI_vol20,海外观察,恒生指数最近二十个来源交易日的收盘对数收益样本标准差，按二百四十二日年化,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,0.06169322857707531,0.5491444423695196
HSI_dd60,海外观察,恒生指数收盘值除以最近六十个来源交易日最高收盘值，再减一,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.2729896272915474,0.0
HSI_age_days,海外观察,恒生指数来源预定可用时刻距中国开盘前判断时刻的自然日数,自然日,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,0.041666666666666664,5.041666666666667
N225_mom1,海外观察,日经二二五指数最近1个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.13234076084751933,0.09736558781039584
N225_mom5,海外观察,日经二二五指数最近5个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.2011764041517594,0.15817096720591728
N225_mom20,海外观察,日经二二五指数最近20个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.34620881415704297,0.20681908295175866
N225_vol20,海外观察,日经二二五指数最近二十个来源交易日的收盘对数收益样本标准差，按二百四十二日年化,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,0.057214688709216074,0.6814496787017778
N225_dd60,海外观察,日经二二五指数收盘值除以最近六十个来源交易日最高收盘值，再减一,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,-0.312690291439528,0.0
N225_age_days,海外观察,日经二二五指数来源预定可用时刻距中国开盘前判断时刻的自然日数,自然日,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3455,1,0.041666666666666664,10.041666666666666
VIX_mom1,海外观察,波动率指数最近1个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3306,150,-0.4424487591644146,0.7682450294663026
VIX_mom5,海外观察,波动率指数最近5个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3302,154,-0.6286539789685599,1.1407237800592158
VIX_mom20,海外观察,波动率指数最近20个来源交易日的收盘对数收益之和,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3286,170,-0.8265931362126593,1.799163770756306
VIX_vol20,海外观察,波动率指数最近二十个来源交易日的收盘对数收益样本标准差，按二百四十二日年化,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。这里衡量波动率指数自身的变化波动，不是股票实现波动率。,对齐记录未发现时钟穿越；本次未逐值重算该列,3286,170,0.37583140264075005,3.4436856642637776
VIX_dd60,海外观察,波动率指数收盘值除以最近六十个来源交易日最高收盘值，再减一,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3251,205,-0.703470797752867,0.0
VIX_log_level,海外观察,波动率指数收盘点位的自然对数,指数变化或对数刻度,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3306,150,2.2126604230287223,4.415098705258881
VIX_age_days,海外观察,波动率指数来源预定可用时刻距中国开盘前判断时刻的自然日数,自然日,按各市场既定收盘后时钟，下一中国开盘前九点取已知值,来源是指数价格或波动率指数，不是指数含分红总收益。市场收盘时钟不等于免费接口实时交付证明。,对齐记录未发现时钟穿越；本次未逐值重算该列,3306,150,0.125,3.1666666666666665
dr007_known,资金利率,最新已知存款类机构七天质押式回购加权利率，百分数除以一百,小数利率或利差,DR007在利率日期后的下一股票开盘可用；政策利率按公告时刻,七天利率与各期限投放总量是不同变量；不应该加总各期限利率。,已核身份、单位与时钟规则；未发现此次指出的期限漏量问题,2822,634,0.011378999999999998,0.048726000000000005
policy_rate_known,资金利率,最新明确公布的央行七天逆回购操作利率，百分数除以一百,小数利率或利差,DR007在利率日期后的下一股票开盘可用；政策利率按公告时刻,七天利率与各期限投放总量是不同变量；不应该加总各期限利率。,已核身份、单位与时钟规则；未发现此次指出的期限漏量问题,3055,401,0.013999999999999999,0.040999999999999995
funding_gap,资金利率,DR007减央行七天操作利率,小数利率或利差,DR007在利率日期后的下一股票开盘可用；政策利率按公告时刻,七天利率与各期限投放总量是不同变量；不应该加总各期限利率。,已核身份、单位与时钟规则；未发现此次指出的期限漏量问题,2822,634,-0.014680000000000002,0.010226000000000006
dr007_change5,资金利率,DR007相对于五个股票交易日前的变化,小数利率或利差,DR007在利率日期后的下一股票开盘可用；政策利率按公告时刻,七天利率与各期限投放总量是不同变量；不应该加总各期限利率。,已核身份、单位与时钟规则；未发现此次指出的期限漏量问题,2817,639,-0.010157,0.012596
dr007_change20,资金利率,DR007相对于二十个股票交易日前的变化,小数利率或利差,DR007在利率日期后的下一股票开盘可用；政策利率按公告时刻,七天利率与各期限投放总量是不同变量；不应该加总各期限利率。,已核身份、单位与时钟规则；未发现此次指出的期限漏量问题,2802,654,-0.01816299999999999,0.013103999999999998
funding_gap_mean20,资金利率,最近二十个股票交易日资金利差均值,小数利率或利差,DR007在利率日期后的下一股票开盘可用；政策利率按公告时刻,七天利率与各期限投放总量是不同变量；不应该加总各期限利率。,已核身份、单位与时钟规则；未发现此次指出的期限漏量问题,2803,653,-0.013758250000000003,0.009431
quantity_log,旧七天操作量,最新一篇明确七天公告的亿元金额加一后取对数,公告金额对数、自然日或交互项,公告公开后使用，最多延用十个自然日,漏掉其他逆回购期限及买断式；按公告次数和最近值刻画，不能解释为每日实际总投放或净投放。,范围不足，已新建全期限版本；原结果只对七天定义有效,3055,401,0.0,9.19125948416339
quantity_surprise20,旧七天操作量,当前七天公告对数金额，相对于此前二十篇明确七天公告金额的标准分,公告金额对数、自然日或交互项,公告公开后使用，最多延用十个自然日,漏掉其他逆回购期限及买断式；按公告次数和最近值刻画，不能解释为每日实际总投放或净投放。,范围不足，已新建全期限版本；原结果只对七天定义有效,2703,753,-5.332458405719587,31917644.42844669
quantity_change5_20,旧七天操作量,最近五篇明确七天公告对数规模均值减最近二十篇均值,公告金额对数、自然日或交互项,公告公开后使用，最多延用十个自然日,漏掉其他逆回购期限及买断式；按公告次数和最近值刻画，不能解释为每日实际总投放或净投放。,范围不足，已新建全期限版本；原结果只对七天定义有效,2705,751,-4.087479350487574,3.0080540441164048
quantity_age_days,旧七天操作量,最近明确七天公告距当日十五点的自然日数,公告金额对数、自然日或交互项,公告公开后使用，最多延用十个自然日,漏掉其他逆回购期限及买断式；按公告次数和最近值刻画，不能解释为每日实际总投放或净投放。,范围不足，已新建全期限版本；原结果只对七天定义有效,3055,401,0.18356481481481482,365.1835648148148
quantity_fresh_today,旧七天操作量,最近明确七天规模公告是否属于当前日期,公告金额对数、自然日或交互项,公告公开后使用，最多延用十个自然日,漏掉其他逆回购期限及买断式；按公告次数和最近值刻画，不能解释为每日实际总投放或净投放。,范围不足，已新建全期限版本；原结果只对七天定义有效,3456,0,0.0,1.0
quantity_funding_interaction,旧七天操作量,七天公告规模标准分乘资金利差,公告金额对数、自然日或交互项,公告公开后使用，最多延用十个自然日,漏掉其他逆回购期限及买断式；按公告次数和最近值刻画，不能解释为每日实际总投放或净投放。,范围不足，已新建全期限版本；原结果只对七天定义有效,2703,753,-141905.84712887407,0.016268028267788733
weekday_mon,日历,当前开市日是否星期一,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,1.0
weekday_tue,日历,当前开市日是否星期二,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,1.0
weekday_wed,日历,当前开市日是否星期三,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,1.0
weekday_thu,日历,当前开市日是否星期四,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,1.0
weekday_fri,日历,当前开市日是否星期五,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,1.0
month_phase_sin,日历,当月日期序号减一，除以当月自然日总数，再乘两倍圆周率后取正弦,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,-1.0,1.0
month_phase_cos,日历,当月日期序号减一，除以当月自然日总数，再乘两倍圆周率后取余弦,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,-1.0,1.0
year_phase_sin,日历,月份序号减一，除以十二，再乘两倍圆周率后取正弦,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,-1.0,1.0
year_phase_cos,日历,月份序号减一，除以十二，再乘两倍圆周率后取余弦,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,-1.0,1.0
month_ordinal_scaled,日历,当前开市日在本月已发生股票交易日中的序号除以二十二，最大取一,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.045454545454545456,1.0
remaining_calendar_days_scaled,日历,本月剩余自然日数除以三十一；剩余天数不含当前日,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,0.967741935483871
month_first3,日历,当前是否本月前三个股票交易日,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,1.0
month_last5_calendar,日历,当前是否本月最后五个自然日,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,1.0
quarter_first3,日历,当前是否季初月份前三个股票交易日,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,1.0
quarter_last5_calendar,日历,当前是否季末月份最后五个自然日,标志或日期刻度,开盘前由日期及此前已发生开市日确定,只是日期条件，未包含当日实际公募申购、缴税或逆回购量；不能用日历名称冒充资金证据。,已核日期定义，沿用第六轮已完成的前缀不变验证,3455,1,0.0,1.0
