model,fit_origin,train_rows,first_train_origin,last_train_origin,last_label_exit,last_prediction_origin,random_seed,train_array_sha256
M_RIDGE_H5_ROLL756,2017-10-09,751,2014-08-28,2017-09-22,2017-10-09,2017-12-29,40431915,ed17577d6d22d7dc36a54df26e7af0ece71f3cf8e85ef6c6dd4e32af617526ec
M_RIDGE_H5_ROLL756,2018-01-02,751,2014-11-28,2017-12-22,2018-01-02,2018-03-30,40441008,650dc169dc4047de82fbd7756413ee15fc0918a53271dd2f5d8e025fa1984a2c
M_RIDGE_H5_ROLL756,2018-04-02,751,2015-03-02,2018-03-23,2018-04-02,2018-06-29,40441308,e2b1e5bf95fa1a3227abcfa8ea273c9bb12a122bd994342532fd8440ee39ea43
M_RIDGE_H5_ROLL756,2018-07-02,751,2015-05-27,2018-06-22,2018-07-02,2018-09-28,40441608,cddaaeed2c79cccfe2a18ce01c373a0c33b9ff01d0c80d0ea70cc7cadeea0d0b
M_RIDGE_H5_ROLL756,2018-10-08,751,2015-08-26,2018-09-20,2018-10-08,2018-12-28,40441914,41af9b010db145e0f01ca11cb0e199ca8bdf09817267020d326a25feef0db0d2
M_RIDGE_H5_ROLL756,2019-01-02,751,2015-11-27,2018-12-21,2019-01-02,2019-03-29,40451008,a247a84d3306c5301bea43d75480356438dc51f3aea2c3ff2f12038485f05c38
M_RIDGE_H5_ROLL756,2019-04-01,751,2016-02-25,2019-03-22,2019-04-01,2019-06-28,40451307,27f83b1a3f8bfa5c396b9a1d159479f2d65e15b31fd8f261cc8f75e1a61b686e
M_RIDGE_H5_ROLL756,2019-07-01,751,2016-05-23,2019-06-21,2019-07-01,2019-09-30,40451607,c7d85513ff1b4c7631cdbc7ec34529295c301e3d56a11b084969f228d8bb2a59
M_RIDGE_H5_ROLL756,2019-10-08,751,2016-08-24,2019-09-23,2019-10-08,2019-12-31,40451914,83551ee4d772808999be8bf5ce63a3ad667d2cfca39ae309aa3e717b4cc1bf2a
M_RIDGE_H5_ROLL756,2020-01-02,751,2016-11-28,2019-12-24,2020-01-02,2020-03-31,40461008,62f78101a7ac2f3b3b2cbbf5f9c16ebb91d7264e24b362edc98c775d2f83c138
M_RIDGE_H5_ROLL756,2020-04-01,751,2017-02-24,2020-03-24,2020-04-01,2020-06-30,40461307,9e51c20f5c36e22e2ba3ad3dc7b46d5b2cb27d1710e385ac9efd785f472c3a7c
M_RIDGE_H5_ROLL756,2020-07-01,751,2017-05-23,2020-06-19,2020-07-01,2020-09-30,40461607,b4bfcecf0ba8267d87bf9689174897bda95142398d078cb7382ee10489e90767
M_RIDGE_H5_ROLL756,2020-10-09,751,2017-08-25,2020-09-23,2020-10-09,2020-12-31,40461915,4d191e69910d80ab9ea241dd8af1b587e56fd14201b3e1b41ef92665f69cbbfa
M_RIDGE_H5_ROLL756,2021-01-04,751,2017-11-24,2020-12-24,2021-01-04,2021-03-31,40471010,46c535d96dcd2d9e9f59a23c67dbb938c4312fd0be28f703a9ef501f56f15dff
M_RIDGE_H5_ROLL756,2021-04-01,751,2018-02-22,2021-03-24,2021-04-01,2021-06-30,40471307,4103ebd279de83d48f74d1d25a686c084887f8381870b67f6b7efc9872450edb
M_RIDGE_H5_ROLL756,2021-07-01,751,2018-05-23,2021-06-23,2021-07-01,2021-09-30,40471607,1fb23b3d350c7396598c2ea507dbe875d20343babc98909457b69530ce304a5f
M_RIDGE_H5_ROLL756,2021-10-08,751,2018-08-22,2021-09-23,2021-10-08,2021-12-31,40471914,d132a3bb2757b890917ad94655e893f4d9cf9ea31eab08d03a2c3422b94095e5
M_RIDGE_H5_ROLL756,2022-01-04,751,2018-11-23,2021-12-24,2022-01-04,2022-03-31,40481010,20e8464d4c366ecb6668f7b34739960ec6f9935c85399960dc04bd2cfec8629a
M_RIDGE_H5_ROLL756,2022-04-01,751,2019-02-22,2022-03-24,2022-04-01,2022-06-30,40481307,915fb14e513645823892e695c0ca8d7be654390ce1e349cf7725ec46524ae5d3
M_RIDGE_H5_ROLL756,2022-07-01,751,2019-05-22,2022-06-23,2022-07-01,2022-09-30,40481607,d05af1e3dcfef6dcba38081f59dfff24aa2a72a9a243ee40e6b30836c67741a3
M_RIDGE_H5_ROLL756,2022-10-10,751,2019-08-22,2022-09-23,2022-10-10,2022-12-30,40481916,781742fc3d014a695f2c8519d47b533cfdb1c1a1e42093c7ceeb2932b2d2fa5f
M_RIDGE_H5_ROLL756,2023-01-03,751,2019-11-22,2022-12-23,2023-01-03,2023-03-31,40491009,64e5d7e87651162fe45225926cb1badb665a22267d79515ea5fec70da997705a
M_RIDGE_H5_ROLL756,2023-04-03,751,2020-02-24,2023-03-24,2023-04-03,2023-06-30,40491309,ad4b646f70678db3073cd6ab3f83d7e5943fe5375c9ef3f5754d2129df1ab00b
M_RIDGE_H5_ROLL756,2023-07-03,751,2020-05-21,2023-06-21,2023-07-03,2023-09-28,40491609,4fdf063a737d748fcba17c746624d50f32f36d0af6dde635a5b68bbece451ebd
M_RIDGE_H5_ROLL756,2023-10-09,751,2020-08-21,2023-09-21,2023-10-09,2023-12-29,40491915,1767b81571e49761a0d91fbc39d61f1546f2edceb0429e6eb00e5284e8de8653
M_RIDGE_H5_ROLL756,2024-01-02,751,2020-11-23,2023-12-22,2024-01-02,2024-03-29,40501008,97c5c42c6319742d162354de11ef72efc674f3245ac75d109dc7eea92b997bc5
M_RIDGE_H5_ROLL756,2024-04-01,751,2021-02-19,2024-03-22,2024-04-01,2024-06-28,40501307,b3142cfd60a6c795b83e973c715d1b28578b6436e595287ca028043ff47d33d0
M_RIDGE_H5_ROLL756,2024-07-01,751,2021-05-19,2024-06-21,2024-07-01,2024-09-30,40501607,6d43d768079b0716a05abfb7c8d869eee7b618c84bfccbb111580d3cbdaa2616
M_RIDGE_H5_ROLL756,2024-10-08,751,2021-08-18,2024-09-23,2024-10-08,2024-12-31,40501914,894a6dfa6d283977a8c57ab4020898edb6cdfa838774837531947fbdc5c13e7a
M_RIDGE_H5_ROLL756,2025-01-02,751,2021-11-22,2024-12-24,2025-01-02,2025-03-31,40511008,2d81ea0bbe11410f8eaaeb1dfab3f37a68c237b108f4e289920e4311c5b57803
M_RIDGE_H5_ROLL756,2025-04-01,751,2022-02-17,2025-03-24,2025-04-01,2025-06-30,40511307,74899f86393bb365c3a4c3214e4f1d8b1589cc99e494dd991bd8718a8e3d5080
M_RIDGE_H5_ROLL756,2025-07-01,751,2022-05-19,2025-06-23,2025-07-01,2025-09-30,40511607,0567c71349c4d1867c758146573fdb28bbba8459407ffea6242e406bb1645327
M_RIDGE_H5_ROLL756,2025-10-09,751,2022-08-22,2025-09-23,2025-10-09,2025-12-31,40511915,2e46d8eb58af64dba646340d0452314121adafc0bb536a61a9fea89eab3f3505
M_RIDGE_H5_ROLL756,2026-01-05,751,2022-11-22,2025-12-24,2026-01-05,2026-03-31,40521011,f356fecbc714d86c5a8e44bcc73e08f746a6a6acb7fa0f8d12b1ce10923fbc17
M_RIDGE_H5_ROLL756,2026-04-01,751,2023-02-16,2026-03-24,2026-04-01,2026-06-30,40521307,ea327ae0805205bd6c8310ce0ea85fe4b0c4985bb2c42e46b9fcb5d4bf95e957
M_RIDGE_H5_ROLL756,2026-07-01,751,2023-05-17,2026-06-23,2026-07-01,2026-08-13,40521607,7f403956390bd1a658fdd7e50d84484ad484e53229af71759d6d41d1cf9502b7
M_RIDGE_H20_EXPANDING,2014-12-31,360,2013-06-14,2014-12-02,2014-12-31,2014-12-31,40402137,e98ad261ab8dd5b14e59c7212bac4a2d5d7d78e2fadaa35840472affd58a5726
M_RIDGE_H20_EXPANDING,2015-01-05,361,2013-06-14,2014-12-03,2015-01-05,2015-03-31,40411011,7c83d18055c25abcfd7677a904972808a281409c84d2607d0104b2f6358565f5
M_RIDGE_H20_EXPANDING,2015-04-01,418,2013-06-14,2015-03-03,2015-04-01,2015-06-30,40411307,b18edba0fc0ba5099eecf3c6809aa4e66c12e4592b877c884f6d6358afff4bc0
M_RIDGE_H20_EXPANDING,2015-07-01,480,2013-06-14,2015-06-01,2015-07-01,2015-09-30,40411607,268efa297443f6eb2403f00081b65d6b8bc03086b94d99802caf712699f95d53
M_RIDGE_H20_EXPANDING,2015-10-08,544,2013-06-14,2015-08-31,2015-10-08,2015-12-31,40411914,97b02cd2a7d893df0852f741e9dab1eeed8b26e9e5fa49742614b3fff8e616ee
M_RIDGE_H20_EXPANDING,2016-01-04,605,2013-06-14,2015-12-03,2016-01-04,2016-03-31,40421010,121bcb4373373daa703181d36077e2e9df89d6a9a68efb24a7e13721cdedb805
M_RIDGE_H20_EXPANDING,2016-04-01,664,2013-06-14,2016-03-03,2016-04-01,2016-06-30,40421307,f3585edcb2766fc882159014a44ae9f5dddbc5f780b95788387bdfde3072c5af
M_RIDGE_H20_EXPANDING,2016-07-01,725,2013-06-14,2016-05-31,2016-07-01,2016-09-30,40421607,53c6c0045b4a17b0b11ca7091795f3f205adf42431f2e18614d954488bf52e20
M_RIDGE_H20_EXPANDING,2016-10-10,789,2013-06-14,2016-08-31,2016-10-10,2016-12-30,40421916,747afd79065403082f899f63b427f858531c283de11c272ee9da2c92683f4924
M_RIDGE_H20_EXPANDING,2017-01-03,849,2013-06-14,2016-12-02,2017-01-03,2017-03-31,40431009,52eb03e0bbe445b3b4f41d77a9628ca6ab1180d7f4dfa948fbaf9987aa002ea9
M_RIDGE_H20_EXPANDING,2017-04-05,908,2013-06-14,2017-03-03,2017-04-05,2017-06-30,40431311,15dfbb9725c84f36685caa04583f6d74ff66834b60aa6c4858d8b304b0e5c664
M_RIDGE_H20_EXPANDING,2017-07-03,968,2013-06-14,2017-06-02,2017-07-03,2017-09-29,40431609,275cda73fc638889f2004dc85c09ef85730597a3e124725e6f2123ef73c15a5f
M_RIDGE_H20_EXPANDING,2017-10-09,1033,2013-06-14,2017-09-01,2017-10-09,2017-12-29,40431915,dbc340f7c27d1c931f3b32af853f2fe37f4ad0bebd6ab1e983562d71c6ac946a
M_RIDGE_H20_EXPANDING,2018-01-02,1093,2013-06-14,2017-12-01,2018-01-02,2018-03-30,40441008,aaa7207f3416c37b3c9c44d132203821e218c1d3cb79a75b63ba667778b68a34
M_RIDGE_H20_EXPANDING,2018-04-02,1152,2013-06-14,2018-03-02,2018-04-02,2018-06-29,40441308,16affdacd2eefbdd12071ca5c1876464f530b2098eda1575b296a65bbcbfa149
M_RIDGE_H20_EXPANDING,2018-07-02,1212,2013-06-14,2018-05-31,2018-07-02,2018-09-28,40441608,4fe1673d67883fd968eb1d022b28044a9b7db4989d8d15ef222c38c7eea84f6f
M_RIDGE_H20_EXPANDING,2018-10-08,1276,2013-06-14,2018-08-30,2018-10-08,2018-12-28,40441914,4c70c50f528bd50a73f6e6f46a999b02c092cb995e9d5d5b328cbe52b9b31813
M_RIDGE_H20_EXPANDING,2019-01-02,1336,2013-06-14,2018-11-30,2019-01-02,2019-03-29,40451008,634481018982b7d491d5eeaeb02fd0852d69bc68401ceebfb1803984d2ba0644
M_RIDGE_H20_EXPANDING,2019-04-01,1394,2013-06-14,2019-03-01,2019-04-01,2019-06-28,40451307,3559b105d1df9a8f506c6ba077e76303165a9e03e0c37761ba14d980cc3b922e
M_RIDGE_H20_EXPANDING,2019-07-01,1454,2013-06-14,2019-05-30,2019-07-01,2019-09-30,40451607,4c4cd0c15df3f6ffff08fac90d688e57ec3a2caa7fb504aa7294d889d0ea5ea2
M_RIDGE_H20_EXPANDING,2019-10-08,1519,2013-06-14,2019-08-30,2019-10-08,2019-12-31,40451914,0d27d95ce6bd78e3dd267ffb5f82f20417f74c1b16d58fb844ed082751eadf3a
M_RIDGE_H20_EXPANDING,2020-01-02,1580,2013-06-14,2019-12-03,2020-01-02,2020-03-31,40461008,23cef6b6554c92a040ffecdea3fe67c591a728773fe10050e76a31ee48441542
M_RIDGE_H20_EXPANDING,2020-04-01,1638,2013-06-14,2020-03-03,2020-04-01,2020-06-30,40461307,4dafe9c3a32e69bcf9d92254b743f736742a5634d549d7c6ff4cd3ce4a37bbea
M_RIDGE_H20_EXPANDING,2020-07-01,1697,2013-06-14,2020-05-29,2020-07-01,2020-09-30,40461607,86720714a032f4b35a2b64ea19e2d8e05bde2b9b515f64935ebe6c3483b47e03
M_RIDGE_H20_EXPANDING,2020-10-09,1763,2013-06-14,2020-09-02,2020-10-09,2020-12-31,40461915,8b1ec4bafd2c66448b72db3d03213f65a8bddb218866a8a0e1def25f48995296
M_RIDGE_H20_EXPANDING,2021-01-04,1823,2013-06-14,2020-12-03,2021-01-04,2021-03-31,40471010,4b4956f91938180a8a5ddcd3ff27b42a16b9f0b0326a004509f584a563cf430d
M_RIDGE_H20_EXPANDING,2021-04-01,1881,2013-06-14,2021-03-03,2021-04-01,2021-06-30,40471307,a5b85a999b5bfe248484d7a19127a663561eb982de4c29c89b9931a646ba73ad
M_RIDGE_H20_EXPANDING,2021-07-01,1941,2013-06-14,2021-06-01,2021-07-01,2021-09-30,40471607,615a563c1593a2508bfb4c45aae17da5d0f9e2ffd33ce7db199686a42dd1c3ea
M_RIDGE_H20_EXPANDING,2021-10-08,2005,2013-06-14,2021-08-31,2021-10-08,2021-12-31,40471914,b084958fb81cb9b2db3be3fef57da79b603f320035e0998f9e5caa876009efd3
M_RIDGE_H20_EXPANDING,2022-01-04,2066,2013-06-14,2021-12-03,2022-01-04,2022-03-31,40481010,92d42aecf8c4f2ea37c6be2703afcf78e3181891736d2175906427601ead4034
M_RIDGE_H20_EXPANDING,2022-04-01,2124,2013-06-14,2022-03-03,2022-04-01,2022-06-30,40481307,d9f7fd441ae105b90391acd2365669566c2e812300184b88be63162c393be921
M_RIDGE_H20_EXPANDING,2022-07-01,2183,2013-06-14,2022-06-01,2022-07-01,2022-09-30,40481607,6a3bded07288353e410f7c975c16bb0fa9896fedb932868aee1e9a02d2d8b558
M_RIDGE_H20_EXPANDING,2022-10-10,2248,2013-06-14,2022-09-01,2022-10-10,2022-12-30,40481916,4dc12783468e449dfc3a52403711b0a0b184096cb3710852690bfaf21cd928bc
M_RIDGE_H20_EXPANDING,2023-01-03,2308,2013-06-14,2022-12-02,2023-01-03,2023-03-31,40491009,024f013b1e5e4294e344b7ea1b2b9ad8b472c7ab74daa2e2d3547eda2551ed7b
M_RIDGE_H20_EXPANDING,2023-04-03,2367,2013-06-14,2023-03-03,2023-04-03,2023-06-30,40491309,b77848d9778659338baecb66c4fbfa029078f95c85931b5e6ee0c3b521073ef6
M_RIDGE_H20_EXPANDING,2023-07-03,2426,2013-06-14,2023-05-31,2023-07-03,2023-09-28,40491609,8c6e895f826aca0e9ad0f9313a75331ba8d1dedffa5294246367fa8e57cd7d27
M_RIDGE_H20_EXPANDING,2023-10-09,2490,2013-06-14,2023-08-31,2023-10-09,2023-12-29,40491915,1c9ff668bfe0fef3742b72693376ed5461bcfe7de82fd40de908b4389443eb1d
M_RIDGE_H20_EXPANDING,2024-01-02,2550,2013-06-14,2023-12-01,2024-01-02,2024-03-29,40501008,d22f5fc3643be596435e00bd7cd658ec6bae9cb9ec3195b3045d53a0d0e03ac1
M_RIDGE_H20_EXPANDING,2024-04-01,2608,2013-06-14,2024-03-01,2024-04-01,2024-06-28,40501307,08ff1df38524921ab08d6f71aab062d1abad4742c5949b2883474dd7418811bb
M_RIDGE_H20_EXPANDING,2024-07-01,2667,2013-06-14,2024-05-30,2024-07-01,2024-09-30,40501607,c30988ad91ee1034bc5bb7677e68a565265726650373f810901ca93d1aaf1792
