period,risk_source_cost,origin_index,origin,window_start,window_end,sample_count,mean_reference,mean_runs,variance_reference,variance_runs,covariance,difference_variance,old_budget_reference,budget_reference,status
earlier_diagnostic,BASE,1484,2018-07-02,2017-07-06,2018-07-02,242,0.0001365686488127665,0.00013738760463142145,3.6585012292616297e-06,1.2916760880628956e-05,-1.8840693634061668e-08,1.6612943497158703e-05,0.7222865303158871,0.7786459742354137,UPDATED
earlier_diagnostic,BASE,1506,2018-08-01,2017-08-07,2018-08-01,242,6.804554625709562e-05,0.00013738760463142145,2.0607775750772014e-06,1.2916760880628954e-05,-9.387405538074465e-09,1.4996313266782305e-05,0.7786459742354137,0.8619550723042836,UPDATED
earlier_diagnostic,BASE,1529,2018-09-03,2017-09-07,2018-09-03,242,8.033614425614463e-05,0.00013738760463142145,2.001306351879664e-06,1.2916760880628954e-05,-1.1082987895317835e-08,1.4940233208299256e-05,0.8619550723042836,0.8653040209133344,UPDATED
earlier_diagnostic,BASE,1548,2018-10-08,2017-10-11,2018-10-08,242,8.033614425614463e-05,5.62198809160854e-05,2.001306351879664e-06,1.5442999558844466e-05,-4.535229079368369e-09,1.7453376368882864e-05,0.8653040209133344,0.8850742951641616,UPDATED
earlier_diagnostic,BASE,1566,2018-11-01,2017-11-06,2018-11-01,242,-3.654000476943412e-05,4.219601630925958e-06,3.97277568428493e-06,1.4734984891381919e-05,-9.961219144066406e-10,1.8709752819495666e-05,0.8850742951641616,0.7876096042242392,UPDATED
earlier_diagnostic,BASE,1588,2018-12-03,2017-12-06,2018-12-03,242,-3.654000476943412e-05,-6.976428790418459e-05,3.972775684284929e-06,5.76352801769861e-06,-3.7107109007417566e-09,9.743725123785022e-06,0.7876096042242392,0.5918925929592547,UPDATED
earlier_diagnostic,BASE,1608,2019-01-02,2018-01-04,2019-01-02,242,-3.654000476943412e-05,-2.597255562264789e-05,3.972775684284929e-06,3.0795848749035602e-06,-2.103921167314997e-09,7.05656840152312e-06,0.5918925929592547,0.4367120986747199,UPDATED
earlier_diagnostic,BASE,1630,2019-02-01,2018-02-05,2019-02-01,242,-3.654000476943412e-05,-7.710912828753294e-05,3.972775684284929e-06,2.508194335059946e-06,-3.9802050154241795e-09,6.4889304293757235e-06,0.4367120986747199,0.3871477075332209,UPDATED
earlier_diagnostic,BASE,1645,2019-03-01,2018-03-05,2019-03-01,242,-6.503361191325277e-05,-7.710912828753294e-05,2.5705817929497654e-06,2.508194335059946e-06,-6.186438892966925e-09,5.091149005795644e-06,0.3871477075332209,0.49387294913006885,UPDATED
earlier_diagnostic,BASE,1666,2019-04-01,2018-04-03,2019-04-01,242,-3.413795528090279e-05,-7.710912828753294e-05,2.7280116424899777e-06,2.508194335059946e-06,-3.794216525782154e-09,5.2437944106014895e-06,0.49387294913006885,0.47904024355096536,UPDATED
earlier_diagnostic,BASE,1687,2019-05-06,2018-05-08,2019-05-06,242,-3.413795528090279e-05,-7.710912828753294e-05,2.7280116424899777e-06,2.5081943350599457e-06,-3.794216525782153e-09,5.243794410601489e-06,0.47904024355096536,0.47904024355096536,UPDATED
earlier_diagnostic,BASE,1707,2019-06-03,2018-06-05,2019-06-03,242,-3.5729622156016284e-05,-7.710912828753294e-05,2.734148140056806e-06,2.508194335059946e-06,-3.917457832644904e-09,5.2501773907820415e-06,0.47904024355096536,0.4784813170890591,UPDATED
earlier_diagnostic,BASE,1726,2019-07-01,2018-07-03,2019-07-01,242,0.00013119829367682753,-7.710912828753294e-05,6.63316219828084e-06,2.508194335059946e-06,9.00761764688834e-09,9.123341298047011e-06,0.4784813170890591,0.27393327025352504,UPDATED
earlier_diagnostic,BASE,1749,2019-08-01,2018-08-03,2019-08-01,242,0.00013119829367682753,-7.710912828753294e-05,6.63316219828084e-06,2.5081943350599457e-06,9.007617646888345e-09,9.12334129804701e-06,0.27393327025352504,0.27393327025352504,UPDATED
earlier_diagnostic,BASE,1771,2019-09-02,2018-09-04,2019-09-02,242,0.00013119829367682753,-4.49555140766856e-05,6.63316219828084e-06,3.1578702075950808e-06,4.771614180326127e-09,9.781489177515269e-06,0.27393327025352504,0.32235363513592485,UPDATED
earlier_diagnostic,BASE,1791,2019-10-08,2018-10-10,2019-10-08,242,0.000132376671124061,1.841338755423292e-05,6.632512889628286e-06,3.478958531448626e-06,-2.4811935132473667e-09,1.0116433808103405e-05,0.32235363513592485,0.34413705372867576,UPDATED
earlier_diagnostic,BASE,1809,2019-11-01,2018-11-05,2019-11-01,242,0.0002480744427024063,1.8256894885535062e-05,4.622320959313803e-06,3.4789583427299606e-06,-4.547861841733341e-09,8.11037502572723e-06,0.34413705372867576,0.42951234604090827,UPDATED
earlier_diagnostic,BASE,1830,2019-12-02,2018-12-04,2019-12-02,242,0.0002480744427024063,-4.0404534704501835e-05,4.622320959313804e-06,5.1318916418947925e-06,1.006492302046297e-08,9.734082755167672e-06,0.42951234604090827,0.5261745608393592,UPDATED
