研报编号,证券代码,公司名称,预测机构,预测目标年度,预测每股收益_原文数值,原文单位,研报落款日,较晚公开日期,原文最新总股本_百万股,原件页码,原文预测行
AP201710300990343237,600406.SH,国电南瑞,国信证券,2018,0.80,元/股,2017-10-29,2017-10-30,2429,1,摊薄每股收益(元) 0.53 0.60 0.69 0.80 0.91
AP201710300990343237,600406.SH,国电南瑞,国信证券,2019,0.91,元/股,2017-10-29,2017-10-30,2429,1,摊薄每股收益(元) 0.53 0.60 0.69 0.80 0.91
AP201711010995276702,601607.SH,上海医药,国信证券,2017,1.32,元/股,2017-10-31,2017-11-01,2689,1,摊薄每股收益(元) 1.07 1.19 1.32 1.48 1.66
AP201711010995276702,601607.SH,上海医药,国信证券,2018,1.48,元/股,2017-10-31,2017-11-01,2689,1,摊薄每股收益(元) 1.07 1.19 1.32 1.48 1.66
AP201711010995276702,601607.SH,上海医药,国信证券,2019,1.66,元/股,2017-10-31,2017-11-01,2689,1,摊薄每股收益(元) 1.07 1.19 1.32 1.48 1.66
AP201711010995930869,601088.SH,中国神华,国信证券,2017,2.25,元/股,2017-11-01,2017-11-01,19890,1,摊薄每股收益(元) 0.81 1.14 2.25 2.57 2.85
AP201711010995930869,601088.SH,中国神华,国信证券,2018,2.57,元/股,2017-11-01,2017-11-01,19890,1,摊薄每股收益(元) 0.81 1.14 2.25 2.57 2.85
AP201711010995930869,601088.SH,中国神华,国信证券,2019,2.85,元/股,2017-11-01,2017-11-01,19890,1,摊薄每股收益(元) 0.81 1.14 2.25 2.57 2.85
AP201711201052894114,600438.SH,通威股份,国信证券,2017,0.50,元/股,2017-11-20,2017-11-20,3882,1,摊薄每股收益(元) 0.09 0.26 0.50 0.69 1.07
AP201711201052894114,600438.SH,通威股份,国信证券,2018,0.69,元/股,2017-11-20,2017-11-20,3882,1,摊薄每股收益(元) 0.09 0.26 0.50 0.69 1.07
AP201711201052894114,600438.SH,通威股份,国信证券,2019,1.07,元/股,2017-11-20,2017-11-20,3882,1,摊薄每股收益(元) 0.09 0.26 0.50 0.69 1.07
AP201801091075431016,600438.SH,通威股份,国信证券,2017,0.50,元/股,2018-01-09,2018-01-09,3882,1,摊薄每股收益(元) 0.09 0.26 0.50 0.69 1.07
AP201801091075431016,600438.SH,通威股份,国信证券,2018,0.69,元/股,2018-01-09,2018-01-09,3882,1,摊薄每股收益(元) 0.09 0.26 0.50 0.69 1.07
AP201801091075431016,600438.SH,通威股份,国信证券,2019,1.07,元/股,2018-01-09,2018-01-09,3882,1,摊薄每股收益(元) 0.09 0.26 0.50 0.69 1.07
AP201805071138405278,601799.SH,星宇股份,国信证券,2018,2.29,元/股,2018-05-02,2018-05-07,276,1,摊薄每股收益(元) 1.27 1.70 2.29 3.17 4.21
AP201805071138405278,601799.SH,星宇股份,国信证券,2019,3.17,元/股,2018-05-02,2018-05-07,276,1,摊薄每股收益(元) 1.27 1.70 2.29 3.17 4.21
AP201805071138405278,601799.SH,星宇股份,国信证券,2020,4.21,元/股,2018-05-02,2018-05-07,276,1,摊薄每股收益(元) 1.27 1.70 2.29 3.17 4.21
AP201805081139237789,601360.SH,三六零,国信证券,2018,0.52,元/股,2018-05-03,2018-05-08,6764,1,摊薄每股收益(元) 0.50 0.52 0.61 0.71
AP201805081139237789,601360.SH,三六零,国信证券,2019,0.61,元/股,2018-05-03,2018-05-08,6764,1,摊薄每股收益(元) 0.50 0.52 0.61 0.71
AP201805081139237789,601360.SH,三六零,国信证券,2020,0.71,元/股,2018-05-03,2018-05-08,6764,1,摊薄每股收益(元) 0.50 0.52 0.61 0.71
AP201808291184453839,000338.SZ,潍柴动力,国信证券,2018,1.00,元/股,2018-08-29,2018-08-29,7997,1,摊薄每股收益(元) 0.31 0.85 1.00 1.09 1.18
AP201808291184453839,000338.SZ,潍柴动力,国信证券,2019,1.09,元/股,2018-08-29,2018-08-29,7997,1,摊薄每股收益(元) 0.31 0.85 1.00 1.09 1.18
AP201808291184453839,000338.SZ,潍柴动力,国信证券,2020,1.18,元/股,2018-08-29,2018-08-29,7997,1,摊薄每股收益(元) 0.31 0.85 1.00 1.09 1.18
AP201808301185041902,601360.SH,三六零,国信证券,2018,0.57,元/股,2018-08-29,2018-08-30,618,1,摊薄每股收益(元) 0.50 0.57 0.72 0.88
AP201808301185041902,601360.SH,三六零,国信证券,2019,0.72,元/股,2018-08-29,2018-08-30,618,1,摊薄每股收益(元) 0.50 0.57 0.72 0.88
AP201808301185041902,601360.SH,三六零,国信证券,2020,0.88,元/股,2018-08-29,2018-08-30,618,1,摊薄每股收益(元) 0.50 0.57 0.72 0.88
AP201808311185975845,000039.SZ,中集集团,国信证券,2018,0.97,元/股,2018-08-31,2018-08-31,2985,1,摊薄每股收益(元) 0.18 0.84 0.97 1.22 1.48
AP201808311185975845,000039.SZ,中集集团,国信证券,2019,1.22,元/股,2018-08-31,2018-08-31,2985,1,摊薄每股收益(元) 0.18 0.84 0.97 1.22 1.48
AP201808311185975845,000039.SZ,中集集团,国信证券,2020,1.48,元/股,2018-08-31,2018-08-31,2985,1,摊薄每股收益(元) 0.18 0.84 0.97 1.22 1.48
AP201810191216840960,600176.SH,中国巨石,国信证券,2018,0.74,元/股,2018-10-19,2018-10-19,3502,1,摊薄每股收益(元) 0.63 0.74 0.74 0.91 1.11
AP201810191216840960,600176.SH,中国巨石,国信证券,2019,0.91,元/股,2018-10-19,2018-10-19,3502,1,摊薄每股收益(元) 0.63 0.74 0.74 0.91 1.11
AP201810191216840960,600176.SH,中国巨石,国信证券,2020,1.11,元/股,2018-10-19,2018-10-19,3502,1,摊薄每股收益(元) 0.63 0.74 0.74 0.91 1.11
AP201811011229685729,000338.SZ,潍柴动力,国信证券,2018,0.92,元/股,2018-11-01,2018-11-01,7997,1,摊薄每股收益(元) 0.85 0.92 1.00 1.09
AP201811011229685729,000338.SZ,潍柴动力,国信证券,2019,1.00,元/股,2018-11-01,2018-11-01,7997,1,摊薄每股收益(元) 0.85 0.92 1.00 1.09
AP201811011229685729,000338.SZ,潍柴动力,国信证券,2020,1.09,元/股,2018-11-01,2018-11-01,7997,1,摊薄每股收益(元) 0.85 0.92 1.00 1.09
AP201812121267820190,603899.SH,晨光文具,国信证券,2018,0.87,元/股,2018-12-12,2018-12-12,920,1,摊薄每股收益(元) 0.54 0.69 0.87 1.10 1.37
AP201812121267820190,603899.SH,晨光文具,国信证券,2019,1.10,元/股,2018-12-12,2018-12-12,920,1,摊薄每股收益(元) 0.54 0.69 0.87 1.10 1.37
AP201812121267820190,603899.SH,晨光文具,国信证券,2020,1.37,元/股,2018-12-12,2018-12-12,920,1,摊薄每股收益(元) 0.54 0.69 0.87 1.10 1.37
AP201903071303507274,000001.SZ,平安银行,国信证券,2019,1.49,元/股,2019-03-06,2019-03-07,17170,1,摊薄每股收益(元) 1.30 1.39 1.49 1.60 1.72
AP201903071303507274,000001.SZ,平安银行,国信证券,2020,1.60,元/股,2019-03-06,2019-03-07,17170,1,摊薄每股收益(元) 1.30 1.39 1.49 1.60 1.72
AP201903071303507274,000001.SZ,平安银行,国信证券,2021,1.72,元/股,2019-03-06,2019-03-07,17170,1,摊薄每股收益(元) 1.30 1.39 1.49 1.60 1.72
AP201903221308620223,300450.SZ,先导智能,国信证券,2019,1.17,元/股,2019-03-22,2019-03-22,882,1,摊薄每股收益(元) 1.22 0.84 1.17 1.44 1.89
AP201903221308620223,300450.SZ,先导智能,国信证券,2020,1.44,元/股,2019-03-22,2019-03-22,882,1,摊薄每股收益(元) 1.22 0.84 1.17 1.44 1.89
AP201903221308620223,300450.SZ,先导智能,国信证券,2021,1.89,元/股,2019-03-22,2019-03-22,882,1,摊薄每股收益(元) 1.22 0.84 1.17 1.44 1.89
AP201903261309684498,000338.SZ,潍柴动力,国信证券,2019,1.12,元/股,2019-03-26,2019-03-26,7934,1,摊薄每股收益(元) 1.08 1.12 1.25 1.36
AP201903261309684498,000338.SZ,潍柴动力,国信证券,2020,1.25,元/股,2019-03-26,2019-03-26,7934,1,摊薄每股收益(元) 1.08 1.12 1.25 1.36
AP201903261309684498,000338.SZ,潍柴动力,国信证券,2021,1.36,元/股,2019-03-26,2019-03-26,7934,1,摊薄每股收益(元) 1.08 1.12 1.25 1.36
AP201904041315606799,002841.SZ,视源股份,国信证券,2019,2.15,元/股,2019-04-04,2019-04-04,656,1,摊薄每股收益(元) 1.53 2.15 2.90 3.91
AP201904041315606799,002841.SZ,视源股份,国信证券,2020,2.90,元/股,2019-04-04,2019-04-04,656,1,摊薄每股收益(元) 1.53 2.15 2.90 3.91
AP201904041315606799,002841.SZ,视源股份,国信证券,2021,3.91,元/股,2019-04-04,2019-04-04,656,1,摊薄每股收益(元) 1.53 2.15 2.90 3.91
AP201908201344691883,600340.SH,华夏幸福,国信证券,2019,4.83,元/股,2019-08-20,2019-08-20,3002,1,摊薄每股收益(元) 2.97 3.91 4.83 6.00 7.28
AP201908201344691883,600340.SH,华夏幸福,国信证券,2020,6.00,元/股,2019-08-20,2019-08-20,3002,1,摊薄每股收益(元) 2.97 3.91 4.83 6.00 7.28
AP201908201344691883,600340.SH,华夏幸福,国信证券,2021,7.28,元/股,2019-08-20,2019-08-20,3002,1,摊薄每股收益(元) 2.97 3.91 4.83 6.00 7.28
AP201908301345380799,000338.SZ,潍柴动力,国信证券,2019,1.24,元/股,2019-08-30,2019-08-30,7934,1,摊薄每股收益(元) 1.08 1.24 1.37 1.45
AP201908301345380799,000338.SZ,潍柴动力,国信证券,2020,1.37,元/股,2019-08-30,2019-08-30,7934,1,摊薄每股收益(元) 1.08 1.24 1.37 1.45
AP201908301345380799,000338.SZ,潍柴动力,国信证券,2021,1.45,元/股,2019-08-30,2019-08-30,7934,1,摊薄每股收益(元) 1.08 1.24 1.37 1.45
AP201910311370095913,000338.SZ,潍柴动力,国信证券,2019,1.24,元/股,2019-10-31,2019-10-31,7934,1,每股收益(元) 1.08 1.24 1.37 1.45
AP201910311370095913,000338.SZ,潍柴动力,国信证券,2020,1.37,元/股,2019-10-31,2019-10-31,7934,1,每股收益(元) 1.08 1.24 1.37 1.45
AP201910311370095913,000338.SZ,潍柴动力,国信证券,2021,1.45,元/股,2019-10-31,2019-10-31,7934,1,每股收益(元) 1.08 1.24 1.37 1.45
AP202002051374796706,601601.SH,中国太保,国信证券,2019,3.03,原行仅标注摊薄，金额单位未明确,2020-02-05,2020-02-05,9062,1,每股收益(摊薄) 1.62 1.99 3.03 2.86 3.09
AP202002051374796706,601601.SH,中国太保,国信证券,2020,2.86,原行仅标注摊薄，金额单位未明确,2020-02-05,2020-02-05,9062,1,每股收益(摊薄) 1.62 1.99 3.03 2.86 3.09
AP202002051374796706,601601.SH,中国太保,国信证券,2021,3.09,原行仅标注摊薄，金额单位未明确,2020-02-05,2020-02-05,9062,1,每股收益(摊薄) 1.62 1.99 3.03 2.86 3.09
AP202003171376568839,600036.SH,招商银行,国信证券,2019,3.59,元/股,2020-03-17,2020-03-17,25220,1,摊薄每股收益(元) 2.78 3.13 3.59 4.11 4.72
AP202003171376568839,600036.SH,招商银行,国信证券,2020,4.11,元/股,2020-03-17,2020-03-17,25220,1,摊薄每股收益(元) 2.78 3.13 3.59 4.11 4.72
AP202003171376568839,600036.SH,招商银行,国信证券,2021,4.72,元/股,2020-03-17,2020-03-17,25220,1,摊薄每股收益(元) 2.78 3.13 3.59 4.11 4.72
AP202003261376985027,601658.SH,邮储银行,国信证券,2020,0.72,元/股,2020-03-26,2020-03-26,86979,1,摊薄每股收益(元) 0.62 0.63 0.72 0.81 0.90
AP202003261376985027,601658.SH,邮储银行,国信证券,2021,0.81,元/股,2020-03-26,2020-03-26,86979,1,摊薄每股收益(元) 0.62 0.63 0.72 0.81 0.90
AP202003261376985027,601658.SH,邮储银行,国信证券,2022,0.90,元/股,2020-03-26,2020-03-26,86979,1,摊薄每股收益(元) 0.62 0.63 0.72 0.81 0.90
AP202004241378537202,688396.SH,华润微,国信证券,2020,0.43,元/股,2020-04-23,2020-04-24,1216,1,摊薄每股收益(元) 0.52 0.33 0.43 0.56 0.72
AP202004241378537202,688396.SH,华润微,国信证券,2021,0.56,元/股,2020-04-23,2020-04-24,1216,1,摊薄每股收益(元) 0.52 0.33 0.43 0.56 0.72
AP202004241378537202,688396.SH,华润微,国信证券,2022,0.72,元/股,2020-04-23,2020-04-24,1216,1,摊薄每股收益(元) 0.52 0.33 0.43 0.56 0.72
AP202004281378893592,601377.SH,兴业证券,国信证券,2020,0.29,元/股,2020-04-28,2020-04-28,6697,1,摊薄每股收益(元) 0.02 0.26 0.29 0.34 0.38
AP202004281378893592,601377.SH,兴业证券,国信证券,2021,0.34,元/股,2020-04-28,2020-04-28,6697,1,摊薄每股收益(元) 0.02 0.26 0.29 0.34 0.38
AP202004281378893592,601377.SH,兴业证券,国信证券,2022,0.38,元/股,2020-04-28,2020-04-28,6697,1,摊薄每股收益(元) 0.02 0.26 0.29 0.34 0.38
AP202005061379307595,601658.SH,邮储银行,国信证券,2020,0.72,元/股,2020-04-30,2020-05-06,86979,1,摊薄每股收益(元) 0.62 0.63 0.72 0.81 0.90
AP202005061379307595,601658.SH,邮储银行,国信证券,2021,0.81,元/股,2020-04-30,2020-05-06,86979,1,摊薄每股收益(元) 0.62 0.63 0.72 0.81 0.90
AP202005061379307595,601658.SH,邮储银行,国信证券,2022,0.90,元/股,2020-04-30,2020-05-06,86979,1,摊薄每股收益(元) 0.62 0.63 0.72 0.81 0.90
AP202006121384335334,300676.SZ,华大基因,国信证券,2020,2.99,元/股,2020-06-11,2020-06-12,400,1,摊薄每股收益(元) 0.97 0.69 2.99 1.32 1.54
AP202006121384335334,300676.SZ,华大基因,国信证券,2021,1.32,元/股,2020-06-11,2020-06-12,400,1,摊薄每股收益(元) 0.97 0.69 2.99 1.32 1.54
AP202006121384335334,300676.SZ,华大基因,国信证券,2022,1.54,元/股,2020-06-11,2020-06-12,400,1,摊薄每股收益(元) 0.97 0.69 2.99 1.32 1.54
AP202007291395092222,688396.SH,华润微,国信证券,2020,0.66,元/股,2020-07-29,2020-07-29,1216,1,摊薄每股收益(元) 0.52 0.33 0.66 0.81 1.00
AP202007291395092222,688396.SH,华润微,国信证券,2021,0.81,元/股,2020-07-29,2020-07-29,1216,1,摊薄每股收益(元) 0.52 0.33 0.66 0.81 1.00
AP202007291395092222,688396.SH,华润微,国信证券,2022,1.00,元/股,2020-07-29,2020-07-29,1216,1,摊薄每股收益(元) 0.52 0.33 0.66 0.81 1.00
AP202008181399388291,601799.SH,星宇股份,国信证券,2020,3.37,元/股,2020-08-18,2020-08-18,276,1,摊薄每股收益(元) 2.21 2.86 3.37 4.27 5.31
AP202008181399388291,601799.SH,星宇股份,国信证券,2021,4.27,元/股,2020-08-18,2020-08-18,276,1,摊薄每股收益(元) 2.21 2.86 3.37 4.27 5.31
AP202008181399388291,601799.SH,星宇股份,国信证券,2022,5.31,元/股,2020-08-18,2020-08-18,276,1,摊薄每股收益(元) 2.21 2.86 3.37 4.27 5.31
AP202008301404193861,000860.SZ,顺鑫农业,国信证券,2020,1.35,元/股,2020-08-28,2020-08-30,742,1,摊薄每股收益(元) 1.09 1.35 1.69 2.05
AP202008301404193861,000860.SZ,顺鑫农业,国信证券,2021,1.69,元/股,2020-08-28,2020-08-30,742,1,摊薄每股收益(元) 1.09 1.35 1.69 2.05
AP202008301404193861,000860.SZ,顺鑫农业,国信证券,2022,2.05,元/股,2020-08-28,2020-08-30,742,1,摊薄每股收益(元) 1.09 1.35 1.69 2.05
AP202009011405118140,601658.SH,邮储银行,国信证券,2020,0.55,元/股,2020-08-31,2020-09-01,86979,1,摊薄每股收益(元) 0.62 0.63 0.55 0.60 0.70
AP202009011405118140,601658.SH,邮储银行,国信证券,2021,0.60,元/股,2020-08-31,2020-09-01,86979,1,摊薄每股收益(元) 0.62 0.63 0.55 0.60 0.70
AP202009011405118140,601658.SH,邮储银行,国信证券,2022,0.70,元/股,2020-08-31,2020-09-01,86979,1,摊薄每股收益(元) 0.62 0.63 0.55 0.60 0.70
AP202009081409213944,600809.SH,山西汾酒,国信证券,2020,2.88,元/股,2020-09-08,2020-09-08,872,1,摊薄每股收益(元) 2.22 2.88 3.70 4.52
AP202009081409213944,600809.SH,山西汾酒,国信证券,2021,3.70,元/股,2020-09-08,2020-09-08,872,1,摊薄每股收益(元) 2.22 2.88 3.70 4.52
AP202009081409213944,600809.SH,山西汾酒,国信证券,2022,4.52,元/股,2020-09-08,2020-09-08,872,1,摊薄每股收益(元) 2.22 2.88 3.70 4.52
AP202010201422526535,688396.SH,华润微,国信证券,2020,0.88,元/股,2020-10-20,2020-10-20,1216,1,摊薄每股收益(元) 0.52 0.33 0.88 1.01 1.17
AP202010201422526535,688396.SH,华润微,国信证券,2021,1.01,元/股,2020-10-20,2020-10-20,1216,1,摊薄每股收益(元) 0.52 0.33 0.88 1.01 1.17
AP202010201422526535,688396.SH,华润微,国信证券,2022,1.17,元/股,2020-10-20,2020-10-20,1216,1,摊薄每股收益(元) 0.52 0.33 0.88 1.01 1.17
AP202010271423959276,600519.SH,贵州茅台,国信证券,2020,37.17,元/股,2020-10-26,2020-10-27,1256,1,摊薄每股收益(元) 28.02 32.80 37.17 43.50 50.61
AP202010271423959276,600519.SH,贵州茅台,国信证券,2021,43.50,元/股,2020-10-26,2020-10-27,1256,1,摊薄每股收益(元) 28.02 32.80 37.17 43.50 50.61
AP202010271423959276,600519.SH,贵州茅台,国信证券,2022,50.61,元/股,2020-10-26,2020-10-27,1256,1,摊薄每股收益(元) 28.02 32.80 37.17 43.50 50.61
AP202010301425000808,601658.SH,邮储银行,国信证券,2020,0.63,元/股,2020-10-30,2020-10-30,86979,1,摊薄每股收益(元) 0.62 0.63 0.63 0.70 0.80
AP202010301425000808,601658.SH,邮储银行,国信证券,2021,0.70,元/股,2020-10-30,2020-10-30,86979,1,摊薄每股收益(元) 0.62 0.63 0.63 0.70 0.80
AP202010301425000808,601658.SH,邮储银行,国信证券,2022,0.80,元/股,2020-10-30,2020-10-30,86979,1,摊薄每股收益(元) 0.62 0.63 0.63 0.70 0.80
AP202011031425985402,000568.SZ,泸州老窖,国信证券,2020,4.02,元/股,2020-11-02,2020-11-03,1465,1,摊薄每股收益(元) 2.38 3.17 4.02 4.84 5.62
AP202011031425985402,000568.SZ,泸州老窖,国信证券,2021,4.84,元/股,2020-11-02,2020-11-03,1465,1,摊薄每股收益(元) 2.38 3.17 4.02 4.84 5.62
AP202011031425985402,000568.SZ,泸州老窖,国信证券,2022,5.62,元/股,2020-11-02,2020-11-03,1465,1,摊薄每股收益(元) 2.38 3.17 4.02 4.84 5.62
AP202011031425999044,002304.SZ,洋河股份,国信证券,2020,5.04,元/股,2020-11-02,2020-11-03,1507,1,摊薄每股收益(元) 5.39 4.90 5.04 5.82 6.79
AP202011031425999044,002304.SZ,洋河股份,国信证券,2021,5.82,元/股,2020-11-02,2020-11-03,1507,1,摊薄每股收益(元) 5.39 4.90 5.04 5.82 6.79
AP202011031425999044,002304.SZ,洋河股份,国信证券,2022,6.79,元/股,2020-11-02,2020-11-03,1507,1,摊薄每股收益(元) 5.39 4.90 5.04 5.82 6.79
AP202011031426026898,000858.SZ,五粮液,国信证券,2020,5.25,元/股,2020-11-02,2020-11-03,3882,1,摊薄每股收益(元) 3.45 4.48 5.25 6.40 7.63
AP202011031426026898,000858.SZ,五粮液,国信证券,2021,6.40,元/股,2020-11-02,2020-11-03,3882,1,摊薄每股收益(元) 3.45 4.48 5.25 6.40 7.63
AP202011031426026898,000858.SZ,五粮液,国信证券,2022,7.63,元/股,2020-11-02,2020-11-03,3882,1,摊薄每股收益(元) 3.45 4.48 5.25 6.40 7.63
AP202011031426038423,000860.SZ,顺鑫农业,国信证券,2020,1.13,元/股,2020-11-02,2020-11-03,742,1,摊薄每股收益(元) 1.30 1.09 1.13 1.44 1.68
AP202011031426038423,000860.SZ,顺鑫农业,国信证券,2021,1.44,元/股,2020-11-02,2020-11-03,742,1,摊薄每股收益(元) 1.30 1.09 1.13 1.44 1.68
AP202011031426038423,000860.SZ,顺鑫农业,国信证券,2022,1.68,元/股,2020-11-02,2020-11-03,742,1,摊薄每股收益(元) 1.30 1.09 1.13 1.44 1.68
AP202011031426077990,000596.SZ,古井贡酒,国信证券,2020,4.27,元/股,2020-11-02,2020-11-03,504,1,摊薄每股收益(元) 3.37 4.17 4.27 5.49 6.62
AP202011031426077990,000596.SZ,古井贡酒,国信证券,2021,5.49,元/股,2020-11-02,2020-11-03,504,1,摊薄每股收益(元) 3.37 4.17 4.27 5.49 6.62
AP202011031426077990,000596.SZ,古井贡酒,国信证券,2022,6.62,元/股,2020-11-02,2020-11-03,504,1,摊薄每股收益(元) 3.37 4.17 4.27 5.49 6.62
AP202101041446860362,000860.SZ,顺鑫农业,国信证券,2020,0.92,元/股,2021-01-03,2021-01-04,742,1,摊薄每股收益(元) 1.30 1.09 0.92 1.49 1.89
AP202101041446860362,000860.SZ,顺鑫农业,国信证券,2021,1.49,元/股,2021-01-03,2021-01-04,742,1,摊薄每股收益(元) 1.30 1.09 0.92 1.49 1.89
AP202101041446860362,000860.SZ,顺鑫农业,国信证券,2022,1.89,元/股,2021-01-03,2021-01-04,742,1,摊薄每股收益(元) 1.30 1.09 0.92 1.49 1.89
AP202101271454757072,688981.SH,中芯国际,国信证券,2020,0.51,元/股,2021-01-27,2021-01-27,7895,1,摊薄每股收益(元) 0.35 0.51 0.59 0.72
AP202101271454757072,688981.SH,中芯国际,国信证券,2021,0.59,元/股,2021-01-27,2021-01-27,7895,1,摊薄每股收益(元) 0.35 0.51 0.59 0.72
AP202101271454757072,688981.SH,中芯国际,国信证券,2022,0.72,元/股,2021-01-27,2021-01-27,7895,1,摊薄每股收益(元) 0.35 0.51 0.59 0.72
AP202102051459130006,688981.SH,中芯国际,国信证券,2020,0.55,元/股,2021-02-05,2021-02-05,7896,1,摊薄每股收益(元) 0.35 0.55 0.63 0.74
