period,cost,left,right,fit_origin,window_start,window_end,days,end_censored,accepted_feature,primary_policy,no_factor_policy,left_window_return,right_window_return,window_return_gap,annual_arithmetic_contribution,left_start_shares,right_start_shares
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-10-08T00:00:00,2015-10-12,2015-11-06,20,False,False,PASSIVE,PASSIVE,0.04328221053112613,0.04328221053112613,0.0,0.0,15300,15300
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-11-02T00:00:00,2015-11-09,2015-12-04,20,False,False,PASSIVE,PASSIVE,-0.012560947945312706,-0.012560947945312706,0.0,0.0,22200,22200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-12-01T00:00:00,2015-12-07,2016-01-08,24,False,False,PASSIVE,PASSIVE,-0.03190121172902449,-0.03190121172902449,0.0,0.0,22200,22200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-01-04T00:00:00,2016-01-11,2016-02-05,20,False,False,PASSIVE,PASSIVE,-0.041780812353282126,-0.041780812353282126,0.0,0.0,22200,22200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-02-01T00:00:00,2016-02-15,2016-03-04,15,False,False,PASSIVE,PASSIVE,0.01381997692292014,0.01381997692292014,0.0,0.0,22200,22200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-03-01T00:00:00,2016-03-07,2016-04-01,20,False,False,PASSIVE,PASSIVE,0.01479397221292933,0.01479397221292933,0.0,0.0,22200,22200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-04-01T00:00:00,2016-04-05,2016-05-06,23,False,False,PASSIVE,PASSIVE,-0.016799312457819404,-0.016799312457819404,0.0,0.0,22200,22200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-05-03T00:00:00,2016-05-09,2016-06-03,20,False,False,PASSIVE,PASSIVE,0.013567452436229477,0.013567452436229477,0.0,0.0,53500,53500
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-06-01T00:00:00,2016-06-06,2016-07-01,18,False,False,PASSIVE,PASSIVE,-0.00929227871237237,-0.00929227871237237,0.0,0.0,43400,43400
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-07-01T00:00:00,2016-07-04,2016-08-05,25,False,False,PASSIVE,PASSIVE,0.01755058238523599,0.01755058238523599,0.0,0.0,35400,35400
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-08-01T00:00:00,2016-08-08,2016-09-02,20,False,False,PASSIVE,PASSIVE,0.025498925971099595,0.025498925971099595,0.0,0.0,45900,45900
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-09-01T00:00:00,2016-09-05,2016-10-14,23,False,False,PASSIVE,PASSIVE,0.0015828202648333622,0.0015828202648333622,0.0,0.0,42400,42400
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-10-10T00:00:00,2016-10-17,2016-11-04,15,False,False,PASSIVE,PASSIVE,0.010374971923802212,0.010374971923802212,0.0,0.0,55300,55300
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-11-01T00:00:00,2016-11-07,2016-12-02,20,False,False,PASSIVE,PASSIVE,0.05199600562122786,0.05199600562122786,0.0,0.0,63500,63500
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2016-12-01T00:00:00,2016-12-05,2017-01-06,24,False,False,PASSIVE,PASSIVE,-0.04419714244116102,-0.04419714244116102,0.0,0.0,63500,63500
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-01-03T00:00:00,2017-01-09,2017-02-03,15,False,False,PASSIVE,PASSIVE,0.006904765985870309,0.006904765985870309,0.0,0.0,49000,49000
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-02-03T00:00:00,2017-02-06,2017-03-03,20,False,False,PASSIVE,PASSIVE,0.01664156946105866,0.01664156946105866,0.0,0.0,65700,65700
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-03-01T00:00:00,2017-03-06,2017-04-07,23,False,True,LOW_Q50,PASSIVE,0.014585077912862676,0.025846043577447908,-0.011260965664585232,-0.002240782192354995,65700,65700
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-04-05T00:00:00,2017-04-10,2017-05-05,19,False,False,PASSIVE,PASSIVE,-0.03806871124663669,-0.03919199857302447,0.0011232873263877785,0.00022866331238097467,66000,65700
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-05-02T00:00:00,2017-05-08,2017-06-02,18,False,True,LOW_Q50,PASSIVE,0.00779179854887091,0.03321525685144433,-0.02542345830257342,-0.004991246730725073,66100,65700
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-06-01T00:00:00,2017-06-05,2017-07-07,25,False,False,CASH,CASH,0.0,-0.0035799874192267156,0.0035799874192267156,0.0007107112021762635,0,65700
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-07-03T00:00:00,2017-07-10,2017-08-04,20,False,False,PASSIVE,PASSIVE,0.019450068828782197,0.019472721085032063,-2.2652256249866554e-05,-4.583100321325339e-06,0,0
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-08-01T00:00:00,2017-08-07,2017-09-01,20,False,False,PASSIVE,PASSIVE,0.02968861669825107,0.029680498333665817,8.11836458525228e-06,1.5687023944718267e-06,46600,48100
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-09-01T00:00:00,2017-09-04,2017-10-13,25,False,False,PASSIVE,PASSIVE,0.025367375478480447,0.02535808246070559,9.29301777485847e-06,1.8255664566847745e-06,54500,56200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-10-09T00:00:00,2017-10-16,2017-11-03,15,False,False,PASSIVE,PASSIVE,0.014034863830672872,0.014029521093092967,5.342737579905332e-06,1.0636581569162958e-06,60700,62600
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-11-01T00:00:00,2017-11-06,2017-12-01,20,False,False,PASSIVE,PASSIVE,0.010563016534576919,0.010554778460522218,8.238074054700562e-06,1.7653632369270777e-06,60700,62600
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2017-12-01T00:00:00,2017-12-04,2018-01-05,24,False,False,PASSIVE,PASSIVE,0.019851702598470577,0.019851354145868028,3.4845260254989796e-07,7.06539715990461e-08,37900,39100
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-01-02T00:00:00,2018-01-08,2018-02-02,20,False,False,PASSIVE,PASSIVE,0.01987465875881278,0.019870116192182596,4.542566630183487e-06,9.35113040086464e-07,37900,39100
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-02-01T00:00:00,2018-02-05,2018-03-02,15,False,True,LOW_Q75,PASSIVE,-0.05841144609040538,-0.06588100524576002,0.0074695591553546326,0.0015703510505196488,57300,59100
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-03-01T00:00:00,2018-03-05,2018-04-13,28,False,False,PASSIVE,PASSIVE,-0.02643212932228811,-0.025332223532457343,-0.0010999057898307685,-0.00022778124049093658,0,27700
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-04-02T00:00:00,2018-04-16,2018-05-04,13,False,False,PASSIVE,PASSIVE,-0.014933806286488327,-0.014927189759715409,-6.616526772917908e-06,-1.272778525665844e-06,37200,38100
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-05-02T00:00:00,2018-05-07,2018-06-01,20,False,False,PASSIVE,PASSIVE,0.0011170678005150148,0.0011165653760689676,5.024244460472005e-07,1.6754023347481875e-07,37200,38100
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-06-01T00:00:00,2018-06-04,2018-07-06,24,False,False,PASSIVE,PASSIVE,-0.0608919652315536,-0.060864608351159144,-2.735688039445794e-05,-5.641203612221185e-06,37200,38100
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-07-02T00:00:00,2018-07-09,2018-08-03,20,False,False,PASSIVE,PASSIVE,-0.003243744552838379,-0.003252438178279249,8.693625440869823e-06,1.4703251602429089e-06,37200,38100
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-08-01T00:00:00,2018-08-06,2018-09-07,25,False,False,PASSIVE,PASSIVE,-0.0032112701112010367,-0.0032161424575055664,4.872346304529707e-06,6.741760705360812e-07,30500,31300
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-09-03T00:00:00,2018-09-10,2018-10-12,19,False,True,LOW_Q75,PASSIVE,0.019381972249619794,-0.010305395230072456,0.02968736747969225,0.00574530803467096,30500,31300
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-10-08T00:00:00,2018-10-15,2018-11-02,15,False,False,PASSIVE,PASSIVE,0.012027572884155235,0.01303554872509749,-0.0010079758409422546,-0.00019657071875524724,0,31300
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-11-01T00:00:00,2018-11-05,2018-12-07,25,False,True,LOW_Q75,PASSIVE,0.02095050393860287,-0.019005848504683565,0.039956352443286436,0.007902208809572087,22000,21900
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2018-12-03T00:00:00,2018-12-10,2019-01-04,18,False,False,PASSIVE,PASSIVE,-0.017209940546742075,-0.023901868549727423,0.006691928002985348,0.0013523484469907274,0,37200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-01-02T00:00:00,2019-01-07,2019-02-01,20,False,False,CASH,CASH,0.002388977680392257,0.0021497640154177766,0.00023921366497448027,4.748950526974916e-05,43500,37200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-02-01T00:00:00,2019-02-11,2019-03-01,15,False,False,CASH,CASH,0.0,0.0,0.0,0.0,0,0
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-03-01T00:00:00,2019-03-04,2019-04-12,29,False,False,PASSIVE,PASSIVE,0.018059510272697477,0.01803315659519633,2.6353677501145256e-05,5.348192931939449e-06,0,0
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-04-01T00:00:00,2019-04-15,2019-05-10,17,False,False,PASSIVE,PASSIVE,-0.022211493465606802,-0.022179655075790894,-3.183838981590803e-05,-6.236142456465681e-06,19500,18500
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-05-06T00:00:00,2019-05-13,2019-06-14,24,False,False,PASSIVE,PASSIVE,-0.004335124213992847,-0.004328769210235617,-6.355003757230193e-06,-1.1640195858970214e-06,19500,18500
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-06-03T00:00:00,2019-06-17,2019-07-05,15,False,False,PASSIVE,PASSIVE,0.03752648102734657,0.03748042344630975,4.605758103681801e-05,8.96068830680921e-06,19500,18500
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-07-01T00:00:00,2019-07-08,2019-08-02,20,False,False,PASSIVE,PASSIVE,-0.018983429078624492,-0.01897107849443025,-1.2350584194242842e-05,-2.423191792494618e-06,33300,31600
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-08-01T00:00:00,2019-08-05,2019-09-06,25,False,False,PASSIVE,PASSIVE,0.03601004951714115,0.03600936015630385,6.893608373026439e-07,1.9768596039128126e-07,39800,37800
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-09-02T00:00:00,2019-09-09,2019-10-11,19,False,False,PASSIVE,PASSIVE,-0.008814084604145678,-0.008798397126798974,-1.568747734670417e-05,-2.9913994077219134e-06,36100,34300
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-10-08T00:00:00,2019-10-14,2019-11-01,15,False,False,CASH,CASH,0.0033143560261672533,0.003310523002904686,3.833023262567181e-06,7.609447330116963e-07,45100,42800
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-11-01T00:00:00,2019-11-04,2019-12-06,25,False,False,PASSIVE,PASSIVE,-0.012606848864718745,-0.012643224373364625,3.637550864588057e-05,7.259723901085556e-06,0,0
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2019-12-02T00:00:00,2019-12-09,2019-12-31,17,True,False,PASSIVE,PASSIVE,0.04546064107798986,0.04540971936879101,5.0921709198847864e-05,9.891285039254255e-06,54900,52100
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2014-12-31T00:00:00,2015-01-05,2015-01-09,5,False,False,PASSIVE,PASSIVE,-0.003246156799999844,-0.003246156799999844,0.0,0.0,0,0
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-01-05T00:00:00,2015-01-12,2015-02-06,20,False,False,PASSIVE,PASSIVE,-0.011114124189815167,-0.011114124189815167,0.0,0.0,12800,12800
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-02-02T00:00:00,2015-02-09,2015-03-06,15,False,False,PASSIVE,PASSIVE,0.0021125135728345956,0.0021125135728345956,0.0,0.0,11400,11400
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-03-02T00:00:00,2015-03-09,2015-04-03,20,False,False,PASSIVE,PASSIVE,0.08499702932363018,0.08499702932363018,0.0,0.0,24300,24300
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-04-01T00:00:00,2015-04-07,2015-05-08,23,False,False,PASSIVE,PASSIVE,0.04183343407133644,0.04183343407133644,0.0,0.0,24300,24300
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-05-04T00:00:00,2015-05-11,2015-06-05,20,False,False,PASSIVE,PASSIVE,0.04276234799753209,0.04276234799753209,0.0,0.0,24300,24300
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-06-01T00:00:00,2015-06-08,2015-07-03,19,False,False,PASSIVE,PASSIVE,-0.0660142389930708,-0.0660142389930708,0.0,0.0,12200,12200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-07-01T00:00:00,2015-07-06,2015-08-07,25,False,False,PASSIVE,PASSIVE,0.007414046848314593,0.007414046848314593,0.0,0.0,12200,12200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-08-03T00:00:00,2015-08-10,2015-09-11,23,False,False,PASSIVE,PASSIVE,-0.015472435685310315,-0.015472435685310315,0.0,0.0,6000,6000
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-09-01T00:00:00,2015-09-14,2015-10-09,15,False,False,PASSIVE,PASSIVE,0.005240168512573584,0.005240168512573584,0.0,0.0,6000,6000
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-10-08T00:00:00,2015-10-12,2015-11-06,20,False,False,PASSIVE,PASSIVE,0.04328221053112613,0.04328221053112613,0.0,0.0,15300,15300
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-11-02T00:00:00,2015-11-09,2015-12-04,20,False,False,PASSIVE,PASSIVE,-0.012560947945312706,-0.012560947945312706,0.0,0.0,22200,22200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2015-12-01T00:00:00,2015-12-07,2016-01-08,24,False,False,PASSIVE,PASSIVE,-0.03190121172902449,-0.03190121172902449,0.0,0.0,22200,22200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-01-04T00:00:00,2016-01-11,2016-02-05,20,False,False,PASSIVE,PASSIVE,-0.041780812353282126,-0.041780812353282126,0.0,0.0,22200,22200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-02-01T00:00:00,2016-02-15,2016-03-04,15,False,False,PASSIVE,PASSIVE,0.01381997692292014,0.01381997692292014,0.0,0.0,22200,22200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-03-01T00:00:00,2016-03-07,2016-04-01,20,False,False,PASSIVE,PASSIVE,0.01479397221292933,0.01479397221292933,0.0,0.0,22200,22200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-04-01T00:00:00,2016-04-05,2016-05-06,23,False,False,PASSIVE,PASSIVE,-0.016799312457819404,-0.016799312457819404,0.0,0.0,22200,22200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-05-03T00:00:00,2016-05-09,2016-06-03,20,False,False,PASSIVE,PASSIVE,0.013567452436229477,0.013567452436229477,0.0,0.0,53500,53500
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-06-01T00:00:00,2016-06-06,2016-07-01,18,False,False,PASSIVE,PASSIVE,-0.00929227871237237,-0.00929227871237237,0.0,0.0,43400,43400
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-07-01T00:00:00,2016-07-04,2016-08-05,25,False,False,PASSIVE,PASSIVE,0.01755058238523599,0.01755058238523599,0.0,0.0,35400,35400
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-08-01T00:00:00,2016-08-08,2016-09-02,20,False,False,PASSIVE,PASSIVE,0.025498925971099595,0.025498925971099595,0.0,0.0,45900,45900
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-09-01T00:00:00,2016-09-05,2016-10-14,23,False,False,PASSIVE,PASSIVE,0.0015828202648333622,0.0015828202648333622,0.0,0.0,42400,42400
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-10-10T00:00:00,2016-10-17,2016-11-04,15,False,False,PASSIVE,PASSIVE,0.010374971923802212,0.010374971923802212,0.0,0.0,55300,55300
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-11-01T00:00:00,2016-11-07,2016-12-02,20,False,False,PASSIVE,PASSIVE,0.05199600562122786,0.05199600562122786,0.0,0.0,63500,63500
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2016-12-01T00:00:00,2016-12-05,2017-01-06,24,False,False,PASSIVE,PASSIVE,-0.04419714244116102,-0.04419714244116102,0.0,0.0,63500,63500
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-01-03T00:00:00,2017-01-09,2017-02-03,15,False,False,PASSIVE,PASSIVE,0.006904765985870309,0.006904765985870309,0.0,0.0,49000,49000
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-02-03T00:00:00,2017-02-06,2017-03-03,20,False,False,PASSIVE,PASSIVE,0.01664156946105866,0.01664156946105866,0.0,0.0,65700,65700
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-03-01T00:00:00,2017-03-06,2017-04-07,23,False,True,LOW_Q50,PASSIVE,0.025846043577447908,0.025846043577447908,0.0,0.0,65700,65700
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-04-05T00:00:00,2017-04-10,2017-05-05,19,False,False,PASSIVE,PASSIVE,-0.03919199857302447,-0.03919199857302447,0.0,0.0,65700,65700
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-05-02T00:00:00,2017-05-08,2017-06-02,18,False,True,LOW_Q50,PASSIVE,0.03321525685144433,0.03321525685144433,0.0,0.0,65700,65700
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-06-01T00:00:00,2017-06-05,2017-07-07,25,False,False,CASH,CASH,-0.0035799874192267156,0.05244052974482094,-0.056020517164047656,-0.01097590511907026,65700,65700
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-07-03T00:00:00,2017-07-10,2017-08-04,20,False,False,PASSIVE,PASSIVE,0.019472721085032063,0.017687988816264433,0.0017847322687676304,0.0003557777481902052,0,54900
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-08-01T00:00:00,2017-08-07,2017-09-01,20,False,False,PASSIVE,PASSIVE,0.029680498333665817,0.028600924211828138,0.0010795741218376786,0.0002071766431437257,48100,54900
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-09-01T00:00:00,2017-09-04,2017-10-13,25,False,False,PASSIVE,PASSIVE,0.02535808246070559,0.025298744381101024,5.933807960456505e-05,1.2164025907885077e-05,56200,54900
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-10-09T00:00:00,2017-10-16,2017-11-03,15,False,False,PASSIVE,PASSIVE,0.014029521093092967,0.014022985219772188,6.535873320778762e-06,1.3011920090186947e-06,62600,65900
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-11-01T00:00:00,2017-11-06,2017-12-01,20,False,False,PASSIVE,PASSIVE,0.010554778460522218,0.01053841270205158,1.6365758470637815e-05,3.3796370952920813e-06,62600,65900
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2017-12-01T00:00:00,2017-12-04,2018-01-05,24,False,False,PASSIVE,PASSIVE,0.019851354145868028,0.019861268244782515,-9.914098914487468e-06,-2.0102418241112022e-06,39100,41200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-01-02T00:00:00,2018-01-08,2018-02-02,20,False,False,PASSIVE,PASSIVE,0.019870116192182596,0.01987096486082529,-8.486686426945056e-07,-4.107049757963613e-08,39100,41200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-02-01T00:00:00,2018-02-05,2018-03-02,15,False,True,LOW_Q75,PASSIVE,-0.06588100524576002,-0.06591890012650203,3.7894880742017634e-05,7.5908553425634205e-06,59100,62200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-03-01T00:00:00,2018-03-05,2018-04-13,28,False,False,PASSIVE,PASSIVE,-0.025332223532457343,-0.025311008875911867,-2.1214656545476274e-05,-4.2330271659967885e-06,27700,29200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-04-02T00:00:00,2018-04-16,2018-05-04,13,False,False,PASSIVE,PASSIVE,-0.014927189759715409,-0.014917546988700292,-9.642771015117013e-06,-1.85495125934991e-06,38100,40100
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-05-02T00:00:00,2018-05-07,2018-06-01,20,False,False,PASSIVE,PASSIVE,0.0011165653760689676,0.001115833166545066,7.322095239015169e-07,2.4411180431941285e-07,38100,40100
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-06-01T00:00:00,2018-06-04,2018-07-06,24,False,False,PASSIVE,PASSIVE,-0.060864608351159144,-0.060824739683860596,-3.986866729854821e-05,-8.221054431325901e-06,38100,40100
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-07-02T00:00:00,2018-07-09,2018-08-03,20,False,False,PASSIVE,PASSIVE,-0.003252438178279249,-0.0032584513296648465,6.013151385597659e-06,1.0189708457047313e-06,38100,40100
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-08-01T00:00:00,2018-08-06,2018-09-07,25,False,False,PASSIVE,PASSIVE,-0.0032161424575055664,-0.0032194752695497986,3.332812044232192e-06,4.6089993566063216e-07,31300,33000
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-09-03T00:00:00,2018-09-10,2018-10-12,19,False,True,LOW_Q75,PASSIVE,-0.010305395230072456,-0.010245568199647614,-5.982703042484161e-05,-1.1564411491799119e-05,31300,33000
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-10-08T00:00:00,2018-10-15,2018-11-02,15,False,False,PASSIVE,PASSIVE,0.01303554872509749,0.012998159654537433,3.738907056005658e-05,7.818921584100088e-06,31300,32900
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-11-01T00:00:00,2018-11-05,2018-12-07,25,False,True,LOW_Q75,PASSIVE,-0.019005848504683565,-0.019004287598373693,-1.5609063098720455e-06,-1.241234930479243e-07,21900,23000
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2018-12-03T00:00:00,2018-12-10,2019-01-04,18,False,False,PASSIVE,PASSIVE,-0.023901868549727423,-0.023913642501785293,1.1773952057869685e-05,2.333664603854059e-06,37200,39200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2019-01-02T00:00:00,2019-01-07,2019-02-01,20,False,False,CASH,CASH,0.0021497640154177766,0.040164744048185375,-0.0380149800327676,-0.007443053096138935,37200,39200
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,2019-02-01T00:00:00,2019-02-11,2019-03-01,15,False,False,CASH,CASH,0.0,0.0943317586634107,-0.0943317586634107,-0.018230903965070232,0,47100
